# r[Å]   g_mean   g_std
2.870000000000000284e+01 1.486267447107899597e+00 7.537441870028391971e-03
2.889999999999999858e+01 1.482626911342127762e+00 8.723547999689981736e-03
2.910000000000000142e+01 1.479953175064713244e+00 8.907056625152093288e-03
2.930000000000000426e+01 1.477929504676364525e+00 9.268357490535981263e-03
2.950000000000000000e+01 1.475096759265315915e+00 1.005893748554158827e-02
2.970000000000000284e+01 1.471370281930824753e+00 9.791056388421993592e-03
2.989999999999999858e+01 1.469410522791851248e+00 9.773815963196106141e-03
3.010000000000000142e+01 1.466661336662094861e+00 1.030927657250051317e-02
3.030000000000000426e+01 1.463309379865001203e+00 1.050214970496048117e-02
3.050000000000000000e+01 1.460703998745198851e+00 1.115771013767869607e-02
3.070000000000000284e+01 1.457137781220849249e+00 1.143661176074887119e-02
3.089999999999999858e+01 1.454950774941091041e+00 1.191598786366717191e-02
3.110000000000000142e+01 1.450895101301894696e+00 1.271467128583849381e-02
3.130000000000000426e+01 1.447891608640512251e+00 1.398545613458506212e-02
3.150000000000000000e+01 1.445417267712997500e+00 1.469219450745386756e-02
3.170000000000000284e+01 1.441981888591498562e+00 1.557940459884795716e-02
3.189999999999999858e+01 1.439129636441489168e+00 1.609075338728357257e-02
3.210000000000000142e+01 1.435161083554513661e+00 1.624888300537899455e-02
3.229999999999999716e+01 1.432904997012750092e+00 1.761575670093417506e-02
3.250000000000000000e+01 1.429150004995811907e+00 1.864406643856041448e-02
3.270000000000000284e+01 1.426335053672896036e+00 1.913515636072514459e-02
3.290000000000000568e+01 1.422483682405899508e+00 2.081089889540503612e-02
3.310000000000000142e+01 1.418716667139792165e+00 2.037468477628038080e-02
3.329999999999999716e+01 1.415311471993345727e+00 2.183366573637543495e-02
3.350000000000000000e+01 1.411577201074712518e+00 2.267656172161169187e-02
3.370000000000000284e+01 1.408015076450716663e+00 2.433389789870992609e-02
3.390000000000000568e+01 1.404477628056064908e+00 2.484754374371627578e-02
3.410000000000000142e+01 1.400446179392492274e+00 2.586430368125674714e-02
3.429999999999999716e+01 1.397577990915470414e+00 2.677962083710672819e-02
3.450000000000000000e+01 1.392912030737976536e+00 2.787095862595840440e-02
3.470000000000000284e+01 1.388544466961642909e+00 2.874160002537725495e-02
3.490000000000000568e+01 1.384764337280169899e+00 3.002131103044602956e-02
3.510000000000000142e+01 1.380807159887780911e+00 3.077457671512492943e-02
3.529999999999999716e+01 1.376968230180736441e+00 3.123189211165584150e-02
3.550000000000000000e+01 1.372215732899931817e+00 3.240456196717911297e-02
3.570000000000000284e+01 1.367784105476773426e+00 3.295449079163281086e-02
3.590000000000000568e+01 1.363722081058521107e+00 3.411974764733911869e-02
3.610000000000000142e+01 1.358634996811763473e+00 3.561807166698396920e-02
3.629999999999999716e+01 1.355506382653085096e+00 3.562449132277186598e-02
3.650000000000000000e+01 1.349627994874572634e+00 3.618825775891891527e-02
3.670000000000000284e+01 1.345865646057164744e+00 3.729409289233686503e-02
3.690000000000000568e+01 1.340777920085665320e+00 3.767639262576138320e-02
3.710000000000000142e+01 1.335893178579532714e+00 3.799752946669947284e-02
3.729999999999999716e+01 1.331147056625398895e+00 3.922261714343698580e-02
3.750000000000000000e+01 1.326425240236356995e+00 3.904864726873084890e-02
3.770000000000000284e+01 1.322063256817159749e+00 3.900333667774283364e-02
3.790000000000000568e+01 1.315951558437570279e+00 3.956815598497308295e-02
3.810000000000000142e+01 1.311058227853652891e+00 3.949228963888494481e-02
3.830000000000000426e+01 1.305651073264973316e+00 3.897016570982674705e-02
3.850000000000000000e+01 1.301281895695352242e+00 3.980033932134202646e-02
3.870000000000000284e+01 1.294958364173032228e+00 3.964333041237261268e-02
3.890000000000000568e+01 1.290284572320488765e+00 3.943985494809592457e-02
3.910000000000000142e+01 1.284406400436073792e+00 3.829296350322360792e-02
3.930000000000000426e+01 1.278941014351693717e+00 3.801905504705799244e-02
3.950000000000000000e+01 1.272687620045286350e+00 3.710411806643224009e-02
3.970000000000000284e+01 1.266929550047588338e+00 3.682968628569047859e-02
3.990000000000000568e+01 1.260771026150125707e+00 3.573237631851120671e-02
