r,block_22,block_23,block_24,block_25,mean_last4
1.789999999999999858e+01,6.604955184141983793e+00,6.200150621688485408e+00,7.666568929243460673e+00,7.360996029860812584e+00,6.958167691233684948e+00
1.810000000000000142e+01,6.576117879444204561e+00,6.087906637118444486e+00,7.613861685449326622e+00,7.347016495265595637e+00,6.906225674319392382e+00
1.830000000000000071e+01,6.483535728911581586e+00,6.049547778158188116e+00,7.487496439752803212e+00,7.264032326565053488e+00,6.821153068346906601e+00
1.850000000000000000e+01,6.477673189616976579e+00,5.940912526476274103e+00,7.362488041027164698e+00,7.308794727622282217e+00,6.772467121185674621e+00
1.870000000000000284e+01,6.400592252363406232e+00,5.951021172070360521e+00,7.226839782797210177e+00,7.103557983325207381e+00,6.670502797639046300e+00
1.889999999999999858e+01,6.431743196546372943e+00,5.887662484529543327e+00,7.027235027264911338e+00,7.060935831382423977e+00,6.601894134930812896e+00
1.910000000000000142e+01,6.322191199792726479e+00,5.850082889604061087e+00,6.988408918182305918e+00,7.030989594771524409e+00,6.547918150587653585e+00
1.930000000000000426e+01,6.313153444156194283e+00,5.786970501317429516e+00,6.816401522871875507e+00,6.839333846435926567e+00,6.438964828695356246e+00
1.950000000000000000e+01,6.252126080700616484e+00,5.658986703512001171e+00,6.745101141900687658e+00,6.699990344186110391e+00,6.339051067574853704e+00
1.970000000000000284e+01,6.121770987991456359e+00,5.612024577758227828e+00,6.542631132093053914e+00,6.695934487180430494e+00,6.243090296255791927e+00
1.989999999999999858e+01,6.083871627126932857e+00,5.590965305339559599e+00,6.442018845838264340e+00,6.660451714417886748e+00,6.194326873180660442e+00
2.010000000000000142e+01,5.917106208948117896e+00,5.488696262056875774e+00,6.371136803693989492e+00,6.557770228538591262e+00,6.083677375809393162e+00
2.030000000000000426e+01,5.851355462725310375e+00,5.385321332136097539e+00,6.215887947913430800e+00,6.424100582516427238e+00,5.969166331322816710e+00
2.050000000000000000e+01,5.771849165113201785e+00,5.223753768985636370e+00,6.094155072158274677e+00,6.317457979207108387e+00,5.851803996366055749e+00
2.070000000000000284e+01,5.655144077074083953e+00,5.312031775609065143e+00,5.969416500513862189e+00,6.309175085296675256e+00,5.811441859623421635e+00
2.089999999999999858e+01,5.525619993544203190e+00,5.183032733779100454e+00,5.809096762369258649e+00,6.216215439063709880e+00,5.683491232189068043e+00
2.110000000000000142e+01,5.429807878234698570e+00,5.128640746706849107e+00,5.620773773482443225e+00,6.087153320396924805e+00,5.566593929705229371e+00
2.130000000000000426e+01,5.399407047251633784e+00,4.961096218428961535e+00,5.556363056791814969e+00,5.989174569440633533e+00,5.476510222978260956e+00
2.150000000000000000e+01,5.235700041111932990e+00,4.902703240930018858e+00,5.401474976471022593e+00,5.861439667011904220e+00,5.350329481381219665e+00
2.170000000000000284e+01,5.117546876763060304e+00,4.857492635770273459e+00,5.244644946063043989e+00,5.773381725564620481e+00,5.248266546040249558e+00
2.189999999999999858e+01,4.951060961116737325e+00,4.680585519083652279e+00,5.140543346773738698e+00,5.674427622655776382e+00,5.111654362407476171e+00
2.210000000000000142e+01,4.893172252232911745e+00,4.719943829512064148e+00,5.009091915577831067e+00,5.571114800763500519e+00,5.048330699521576648e+00
2.230000000000000426e+01,4.737601769059089030e+00,4.561822718402773091e+00,4.872896247462268349e+00,5.447731238002611498e+00,4.905012993231685492e+00
2.250000000000000000e+01,4.567600789506470527e+00,4.446545660166017377e+00,4.697397017728673241e+00,5.320238603872003758e+00,4.757945517818290782e+00
2.270000000000000284e+01,4.483229013148968711e+00,4.435386172095362234e+00,4.557320399087013030e+00,5.215030726653943738e+00,4.672741577746322150e+00
