r,block_22,block_23,block_24,block_25,mean_last4
3.570000000000000284e+01,1.265129264488114691e+00,1.334286730859485903e+00,9.115542988795544144e-01,6.997549986040348946e-01,1.052681323207797393e+00
3.590000000000000568e+01,1.254734563564733563e+00,1.320971708911981235e+00,8.875169117455899981e-01,6.845918791588142538e-01,1.036953765845279651e+00
3.610000000000000142e+01,1.238424012509159899e+00,1.291376477521899879e+00,8.883841475872259474e-01,6.767097311311489616e-01,1.023723592187358644e+00
3.629999999999999716e+01,1.230470698157620557e+00,1.275834251357572002e+00,8.865706947480411770e-01,6.620157996317688198e-01,1.013722860973750750e+00
3.650000000000000000e+01,1.220037498863121739e+00,1.256668586741128690e+00,8.738050444433740349e-01,6.524190288486937384e-01,1.000732539724079384e+00
3.670000000000000284e+01,1.201765921090118594e+00,1.235783733987665167e+00,8.611105594157172360e-01,6.346003038388409179e-01,9.833151295830855343e-01
3.690000000000000568e+01,1.202122454197998680e+00,1.202928275083145371e+00,8.659397597400431135e-01,6.150001687811328388e-01,9.714976644505800563e-01
3.710000000000000142e+01,1.184744752419508051e+00,1.192641394366379171e+00,8.597568081259593376e-01,6.086279516501681419e-01,9.614427266405036754e-01
3.729999999999999716e+01,1.162700073281861979e+00,1.172563610302401749e+00,8.579115076700913889e-01,5.932512483409571047e-01,9.466066098988280553e-01
3.750000000000000000e+01,1.156013214545606349e+00,1.145306183468218331e+00,8.488731960625287565e-01,5.823475250256850977e-01,9.331350297755096612e-01
3.770000000000000284e+01,1.142498675393029295e+00,1.118676178186155612e+00,8.591735467175916074e-01,5.769133804809595256e-01,9.243154451944338712e-01
3.790000000000000568e+01,1.132576574606564135e+00,1.099923696154410768e+00,8.413390300962582113e-01,5.663156727900514609e-01,9.100387434118211161e-01
3.810000000000000142e+01,1.101180130138662339e+00,1.076966185197931969e+00,8.342404822652942364e-01,5.598438438489077296e-01,8.930576603626989574e-01
3.830000000000000426e+01,1.110397974558280154e+00,1.053947025358208611e+00,8.469718024152486091e-01,5.473234031364612173e-01,8.896600513670497312e-01
3.850000000000000000e+01,1.091684968820029633e+00,1.036683199365898256e+00,8.281399835014540134e-01,5.439978516514711870e-01,8.751265008347133278e-01
